protein_conc mg/mL,well_content,hom_num,tech_rep,well,plate,assay_date,treatment
0.2905277354,Hom 1 1:4 R1,1,R1,A1,2,7/4/24,0
0.238539094,Hom 1 1:4 R2,1,R2,B1,2,7/4/24,0
0.2388732241,Hom 1 1:4 R3,1,R3,C1,2,7/4/24,0
0.3881565978,Hom 2 1:4 R1,2,R1,A2,2,7/4/24,0
0.3379438872,Hom 2 1:4 R2,2,R2,B2,2,7/4/24,0
0.3473041318,Hom 2 1:4 R3,2,R3,C2,2,7/4/24,0
0.3601729353,Hom 3 1:4 R1,3,R1,A3,2,7/4/24,0
0.3674978793,Hom 3 1:4 R2,3,R2,B3,2,7/4/24,0
0.3441811555,Hom 3 1:4 R3,3,R3,C3,2,7/4/24,0
0.6260495823,Hom 7 1:4 R1,7,R1,A4,2,7/4/24,1
0.484069637,Hom 7 1:4 R2,7,R2,B4,2,7/4/24,1
0.5157752455,Hom 7 1:4 R3,7,R3,C4,2,7/4/24,1
0.5069107214,Hom 8 1:4 R1,8,R1,A1,1,7/4/24,1
0.4781823706,Hom 8 1:4 R2,8,R2,A2,1,7/4/24,1
0.4646057447,Hom 8 1:4 R3,8,R3,B1,1,7/4/24,1
0.3814912432,Hom 9 1:4 R1,9,R1,A5,2,7/4/24,1
0.3227469289,Hom 9 1:4 R2,9,R2,B5,2,7/4/24,1
0.3306818998,Hom 9 1:4 R3,9,R3,C5,2,7/4/24,1
0.4574487334,Hom 13 1:4 R1,13,R1,C1,1,7/4/24,100
0.4165073213,Hom 13 1:4 R2,13,R2,B2,1,7/4/24,100
0.422879162,Hom 13 1:4 R3,13,R3,C2,1,7/4/24,100
0.2482480341,Hom 14 1:4 R1,14,R1,A6,2,7/4/24,100
0.2268749992,Hom 14 1:4 R2,14,R2,B6,2,7/4/24,100
0.2325329662,Hom 14 1:4 R3,14,R3,C6,2,7/4/24,100
0.3048807845,Hom 15 1:4 R1,15,R1,A7,2,7/4/24,100
0.2650782571,Hom 15 1:4 R2,15,R2,B7,2,7/4/24,100
0.2536214169,Hom 15 1:4 R3,15,R3,C7,2,7/4/24,100
0.2281610811,Hom 21 1:4 R1,21,R1,A3,1,7/4/24,0
0.2115007524,Hom 21 1:4 R2,21,R2,B3,1,7/4/24,0
0.2216338699,Hom 21 1:4 R3,21,R3,C3,1,7/4/24,0
0.5150524034,Hom 22 1:4 R1,22,R1,A8,2,7/4/24,0
0.4379758304,Hom 22 1:4 R2,22,R2,B8,2,7/4/24,0
0.5706403547,Hom 22 1:4 R3,22,R3,C8,2,7/4/24,0
0.4082690831,Hom 23 1:4 R1,23,R1,A4,1,7/4/24,0
0.3623767308,Hom 23 1:4 R2,23,R2,B4,1,7/4/24,0
0.3716807221,Hom 23 1:4 R3,23,R3,C4,1,7/4/24,0
0.3739155298,Hom 27 1:4 R1,27,R1,D5,1,7/4/24,1
0.3936866671,Hom 27 1:4 R2,27,R2,E5,1,7/4/24,1
0.4030311405,Hom 27 1:4 R3,27,R3,F5,1,7/4/24,1
0.417762514,Hom 28 1:4 R1,28,R1,A9,2,7/4/24,1
0.372039862,Hom 28 1:4 R2,28,R2,B9,2,7/4/24,1
0.3685455236,Hom 28 1:4 R3,28,R3,C9,2,7/4/24,1
0.5235827812,Hom 29 1:4 R1,29,R1,G2,1,7/4/24,1
0.5592938121,Hom 29 1:4 R2,29,R2,G3,1,7/4/24,1
0.6805812339,Hom 29 1:4 R3,29,R3,H3,1,7/4/24,1
0.3880856029,Hom 33 1:4 R1,33,R1,A5,1,7/4/24,100
0.3545711379,Hom 33 1:4 R2,33,R2,B5,1,7/4/24,100
0.3948073888,Hom 33 1:4 R3,33,R3,C5,1,7/4/24,100
0.4998967986,Hom 34 1:4 R1,34,R1,D1,2,7/4/24,100
0.501338194,Hom 34 1:4 R2,34,R2,E1,2,7/4/24,100
0.4894594175,Hom 34 1:4 R3,34,R3,F1,2,7/4/24,100
0.3441778632,Hom 35 1:4 R1,35,R1,A6,1,7/4/24,100
0.3304694442,Hom 35 1:4 R2,35,R2,B6,1,7/4/24,100
