well_content,tech_rep,hom_num,date_assay,treatment,hpe,sod_calc
Hom 1 1:3 R1,R1,1,7/2/24,0,24,2.3053064
Hom 1 1:3 R2,R2,1,7/2/24,0,24,2.179301572
Hom 2 1:3 R1,R1,2,7/2/24,0,24,4.959111878
Hom 2 1:3 R2,R2,2,7/2/24,0,24,3.800807697
Hom 3 1:3 R1,R1,3,7/2/24,0,24,3.495769297
Hom 3 1:3 R2,R2,3,7/2/24,0,24,1.962912387
Hom 7 1:3 R1,R1,7,7/2/24,1,24,8.87802932
Hom 7 1:3 R2,R2,7,7/2/24,1,24,7.851493684
Hom 9 1:3 R1,R1,9,7/2/24,1,24,3.860898276
Hom 9 1:3 R2,R2,9,7/2/24,1,24,1.764545825
Hom 14 1:3 R1,R1,14,7/2/24,100,24,1.870233462
Hom 14 1:3 R2,R2,14,7/2/24,100,24,1.363048043
Hom 15 1:3 R1,R1,15,7/2/24,100,24,3.937349233
Hom 15 1:3 R2,R2,15,7/2/24,100,24,4.946163812
Hom 22 1:3 R1,R1,22,7/2/24,0,96,6.50008272
Hom 22 1:3 R2,R2,22,7/2/24,0,96,7.475897538
Hom 28 1:3 R1,R1,28,7/2/24,1,96,12.39028803
Hom 28 1:3 R2,R2,28,7/2/24,1,96,9.684316424
Hom 29 1:3 R1,R1,29,7/2/24,1,96,13.67549784
Hom 29 1:3 R2,R2,29,7/2/24,1,96,6.875910378
Hom 34 1:3 R1,R1,34,7/2/24,100,96,11.73604149
Hom 34 1:3 R2,R2,34,7/2/24,100,96,10.01256743
Hom 38 1:3 R1,R1,38,7/2/24,0,24,6.694100846
Hom 38 1:3 R2,R2,38,7/2/24,0,24,7.704076032
Hom 42 1:3 R1,R1,42,7/2/24,1,24,16.71421153
Hom 42 1:3 R2,R2,42,7/2/24,1,24,13.37494968
Hom 64 1:3 R1,R1,64,7/2/24,1,24,4.516614079
Hom 64 1:3 R2,R2,64,7/2/24,1,24,5.614820806
Hom 65 1:3 R1,R1,65,7/2/24,1,24,8.677242483
Hom 65 1:3 R2,R2,65,7/2/24,1,24,7.918489944
Hom 68 1:3 R1,R1,68,7/2/24,100,24,5.477085262
Hom 68 1:3 R2,R2,68,7/2/24,100,24,2.591422778
Hom 69 1:3 R1,R1,69,7/2/24,100,24,13.23580972
Hom 69 1:3 R2,R2,69,7/2/24,100,24,14.14827461
Hom 76 1:3 R1,R1,76,7/2/24,0,24,3.815742089
Hom 76 1:3 R2,R2,76,7/2/24,0,24,2.743048258
Hom 78 1:3 R1,R1,78,7/2/24,0,96,19.41279821
Hom 78 1:3 R2,R2,78,7/2/24,0,96,15.32263647
Hom 81 1:3 R1,R1,81,7/2/24,100,96,6.650491223
Hom 81 1:3 R2,R2,81,7/2/24,100,96,6.525623288
Hom 85 1:3 R1,R1,85,7/2/24,0,24,36.85933905
Hom 85 1:3 R2,R2,85,7/2/24,0,24,28.60307557
Hom 89 1:3 R1,R1,89,7/2/24,100,24,5.786195728
Hom 89 1:3 R2,R2,89,7/2/24,100,24,4.904315622
Hom 91 1:3 R1,R1,91,7/2/24,100,96,1.490729926
Hom 91 1:3 R2,R2,91,7/2/24,100,96,1.402815894
Hom 93 1:3 R1,R1,93,7/2/24,100,96,22.50291752
Hom 93 1:3 R2,R2,93,7/2/24,100,96,20.6833958
Hom 95 1:3 R1,R1,95,7/2/24,0,96,7.53476257
Hom 95 1:3 R2,R2,95,7/2/24,0,96,9.77333775
Hom 96 1:3 R1,R1,96,7/2/24,100,96,9.496277411
Hom 96 1:3 R2,R2,96,7/2/24,100,96,14.44730242
Hom 97 1:3 R1,R1,97,7/2/24,0,96,19.45089986
